title,link,keyword1,keyword2,keyword3
停售潮開始了？繼臺產後，國泰產險也宣佈停售防疫保單,https://www.businessweekly.com.tw/focus/blog/3006507,產險,風險管理,數位轉型
法巴人壽推機器人理財策略投資帳戶 - 阿爾發金融科技股份有限 ...,https://www.alphaft.io/?p=2162,保險,投資,人臉辨識
國泰人壽祿美滿利率變動型美元終身壽險好嗎 - 保險與保戶的第 ...,https://insurancewikitw.com/keywords/%E5%9C%8B%E6%B3%B0%E4%BA%BA%E5%A3%BD%E7%A5%BF%E7%BE%8E%E6%BB%BF%E5%88%A9%E7%8E%87%E8%AE%8A%E5%8B%95%E5%9E%8B%E7%BE%8E%E5%85%83%E7%B5%82%E8%BA%AB%E5%A3%BD%E9%9A%AA%E5%A5%BD%E5%97%8E,產險,精算,數位轉型
年金保險之被保險人於生存期間每多久時間第一次支領年金給付 ...,https://insurancewikitw.com/keywords/%E5%B9%B4%E9%87%91%E4%BF%9D%E9%9A%AA%E4%B9%8B%E8%A2%AB%E4%BF%9D%E9%9A%AA%E4%BA%BA%E6%96%BC%E7%94%9F%E5%AD%98%E6%9C%9F%E9%96%93%E6%AF%8F%E5%A4%9A%E4%B9%85%E6%99%82%E9%96%93%E7%AC%AC%E4%B8%80%E6%AC%A1%E6%94%AF%E9%A0%98%E5%B9%B4%E9%87%91%E7%B5%A6%E4%BB%98%E6%99%82%E6%87%89%E6%8F%90%E5%87%BA%E7%94%9F%E5%AD%98%E8%AD%89%E6%98%8E%E4%B9%8B%E6%96%87%E4%BB%B6,保險,精算,區塊鏈
【防疫保單1】又有防疫保單喊停售剩9家產險公司有賣 - 鏡週刊,https://www.mirrormedia.mg/story/20210520money004/,產險,核保,網路投保
國壽、中壽數位化業務團隊，翻轉後疫情時代保險業 - 奇摩股市,https://tw.stock.yahoo.com/news/%E5%9C%8B%E5%A3%BD-%E4%B8%AD%E5%A3%BD%E6%95%B8%E4%BD%8D%E5%8C%96%E6%A5%AD%E5%8B%99%E5%9C%98%E9%9A%8A-%E7%BF%BB%E8%BD%89%E5%BE%8C%E7%96%AB%E6%83%85%E6%99%82%E4%BB%A3%E4%BF%9D%E9%9A%AA%E6%A5%AD-004809826.html,保險,銷售,數位轉型
以客戶體驗為中心、落實公平待客全球人壽智能客服「伊將」升級,https://www.chinatimes.com/realtimenews/20211004002174-260410,保險,保戶服務,生態圈
以客戶體驗為中心、落實公平待客全球人壽智能客服「伊將」升級,https://www.chinatimes.com/realtimenews/20211004002174-260410,保險,保戶服務,客戶體驗
[蕾咪] 新手如何投資虛擬貨幣？比特幣？區塊鏈？去中心化 ...,https://www.youtube.com/watch?v=V-tKSuuNtBg,保險,投資,區塊鏈
國泰金(2882) 轉投資| 個股分析- 股市 - 理財寶,https://www.cmoney.tw/finance/f00031.aspx?s=2882,產險,投資,雲端
國泰金(2882) 轉投資| 個股分析- 股市 - 理財寶,https://www.cmoney.tw/finance/f00031.aspx?s=2882,產險,投資,人工智慧
金融業數位轉型推智能客服、AI防業務員詐欺- 臺股 - PChome ...,https://stock.pchome.com.tw/news/cat2/20211004/16333586130124918003.html,保險,理賠,人工智慧
金融業數位轉型推智能客服、AI防業務員詐欺- 臺股 - PChome ...,https://stock.pchome.com.tw/news/cat2/20211004/16333586130124918003.html,保險,理賠,數位轉型
首季外溢保單銷售佳南山保費收入超車國壽奪冠 - 中央社,https://www.cna.com.tw/news/afe/202104270370.aspx,保險,銷售,外溢保單
臺產「防疫保單」已理賠10.5億！ 19億元保費收入已吐出過半,https://www.ettoday.net/news/20210715/2031842.htm,保險,理賠,API
和泰產物保險，保險商品總覽，汽機車保險,https://www.xn--ruq77d4w3fo7k.tw/%E5%92%8C%E6%B3%B0%E7%94%A2%E7%89%A9%E4%BF%9D%E9%9A%AA/,產險,投資,網路投保
