1,(CH.2)Content aggregation,內容聚合：內容聚集網站或網絡應用（有時稱為管理網站）允許使用者從特定主題或主題相關的各種網站收集和編譯內容。
2,(CH.2)FTP,檔案傳輸協定：檔案傳輸協定是允許文件從其他網路上上傳和下載的標準協定。
3,(CH.2)IP address,"網際協定位址：IP地址，網際協定位址的簡稱，
是一組可以判斷每台電腦所在區域的連續號碼。"
4,(CH.2)PDF,可攜帶式文件格式：PDF是代表便攜式文檔格式，是Adobe Systems公司的電子圖像格式，可以呈現原始文檔的內容。
5,(CH.2)VoIP,網際協議通話技術：使用戶能夠通過他們的網路連接與其他用戶溝通。
6,(CH.2)streaming,串流：串流是以連續流傳輸數據的過程，允許使用者在傳輸文件時存取以及使用文件。
7,(CH.3)NFC,近距離無線通訊：NFC使用近距離無線電信號在兩個NFC設備之間傳輸數據。
8,(CH.3)Cloud computing ,雲端運算：雲端運算是提供通過網際網路存取資源和服務的環境。
9,(CH.4)disc burning software,燒錄軟體：燒錄軟體寫入文本、圖形、音檔和視頻於可重複紀錄或錄寫光碟
10,(CH.4)disk defragmenter,磁碟重組工具：磁碟重組工具是一種能夠重組在硬體上的文件和未使用的空間，使得運算系統存取資料和執行程式更快
11,(CH.4)file compression tool,文件壓縮工具：文件壓縮工具是一種縮小文件大小的工具。
12,(CH.4)phishing,"網路釣魚：網絡釣魚是一種騙局 罪犯發送一封仿冒的正式電子郵件，試圖獲取您的個人和/或財務信息的騙局。
"
13,(CH.4)word processing software,文字處理軟體：文字處理軟件，有時被稱為文字處理器，是一個應用程序，允許使用者創或和操作文檔，主要包含文檔，而有時是圖形。
14,(CH.5)Back door,後門軟體：後門軟體是程序中的一種指令集，其允許用戶在存取程式時可以繞過安全防護的控制。
15,(CH.5)Denial of service attack,阻斷服務攻擊：阻斷服務攻擊（DoS攻擊）其目的是阻斷電腦對網路伺服器的存取(如網絡或電子郵件)。
16,(CH.5)Malware,惡意軟體：惡意軟體是在沒有用戶發覺的情況下操作的程序，並故意改變電腦和移動設備的操作。
17,(CH.5)Restore,回溯：在系統故障或發現損壞的文件情況下，可以通過備份，複製到電腦或移動設備上的原始位置來還原文件。
18,(CH.5)Cookie,小型文字檔案：Cookie是一種網路伺服器存取於電腦上的小型文件檔，通常包含關於使用者的資料。
19,(CH.5)PIN,個人辨識碼：PIN(個人識別號碼，有時稱為密碼)是由公司分配或由用戶選擇的數字密碼。
20,(CH.5)Digital certificate ,數位認證：數位認證是保證使用者或網站合法的通知。
21,(CH.5)Encryption,加密：加密是將人可讀的數據轉換為編碼字符以防止未經授權的訪問過程。
22,(CH.5)Information privacy   ,資訊隱私：資訊隱私是指個人和公司拒絕或限制收集、使用、傳播有關信息的權利。
23,(CH.5)Content filtering,文件篩選：文件篩選是限制對某些資料的訪問的過程。
24,(CH.5)Web filtering software,網頁篩選軟體：網頁篩選軟體是一種限制對指定網站的訪問的程序。
25,(CH.6)flash memory  ,快閃記憶體：快閃記憶體屬於一種非揮發性記憶體，可以刪除和重寫。
26,(CH.6)system clock ,系統時脈：系統時脈為處理器所使用的石英晶體電路以用來控制電腦運算的時間。
27,(CH.6)chip,晶片：電腦晶片是一種小型的半導體，通常是矽，在其上蝕刻形成電路。
28,(CH.6)read-only memory,唯讀記憶體：指儲存永久資料和指令的晶片。
29,(CH.6)cache,快取：是一種暫存的空間，現今大部分的電腦都利用快取來改善運算的時間。
30,(CH.6)arithmetic logic unit,算術邏輯單元：屬於處裡器的一部分，用於執行運算、比較以及其他運算。
